AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle
15447,15447,Dressel 20,Bardon Mill,Période VI,54.966667,-2.333333,|TA'N''P''*,TANP,,El Marchante
15505,15505,Dressel 20,Bardon Mill,"VR 46, période VI",54.966667,-2.333333,[A]CIRGI|,ACIRGI,,Itálica
15601,15601,Dressel 20,Bardon Mill,"VR 46, période VI",54.966667,-2.333333,|CA^N^T·QVIET^I''|,CANTQVIETI,,
15757,15757,Dressel 20,Bardon Mill,"VJ 51, période V",54.966667,-2.333333,|L·C·F·((signum))*,LCF,,Cortijo del Romero
15872,15872,Dressel 20,Bardon Mill,Unstratified,54.966667,-2.333333,+EL|,...EL,,
16263,16263,Dressel 20,Bardon Mill,Période VII,54.966667,-2.333333,[L·IV]NI·M|/[MELI]SI[·P],LIVNIMMELISSIP,,
16380,16380,Dressel 20,Bardon Mill,Hors stratigraphie - Period 6 construction,54.966667,-2.333333,|QMR|,QMR,,
16689,16689,Dressel 20,Bardon Mill,Période VI,54.966667,-2.333333,|GRA|/|DOS''|,GRADOS,,Peñaflor
16794,16794,Dressel 20,Bardon Mill,"VS 123, période III",54.966667,-2.333333,|Q·S·P|,QSP,,
17072,17072,Dressel 20,Bardon Mill,"VT 51, période VI",54.966667,-2.333333,[L]V^BC|,|LVBC|,,
18686,18686,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|NIII| & |IIIN|,NIII & IIIN,,Arva
18687,18687,Dressel 20,Bardon Mill,"VF 60, période VII (212-300)",54.966667,-2.333333,|ACIRGI|,ACIRGI,,Itálica
18688,18688,Dressel 20,Bardon Mill,"VJ 58, période VI (160-180)",54.966667,-2.333333,|PA^N'R|,PANR,,La Catria
18689,18689,Dressel 20,Bardon Mill,Période III (85-105),54.966667,-2.333333,|CA^N[^T]Q'VI'[ETI],CANTQVIETI,,
18690,18690,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CA^N^TQVI[^ETI],CANTQVIETI,,
18691,18691,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,"CANTQ, sine imagine",CANTQ,,
18692,18692,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PA^RV''[A],PARVA,,La Catria
18693,18693,Dressel 20,Bardon Mill,"VR 46, période VI (160-180)",54.966667,-2.333333,|LAV''GER^N''|,LAVGERN,,
18694,18694,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CA[?]V''M|,CAVM,,
18695,18695,Dressel 20,Bardon Mill,V91 24,54.966667,-2.333333,Q'CC'*,QCC...,,Las Sesenta
18696,18696,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|QCC'*,QCC...,,Las Sesenta
18697,18697,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,|LCM|,LCM,,La Catria
18698,18698,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[L]CM|,LCM,,La Catria
18699,18699,Dressel 20,Bardon Mill,"VF 43, période VII (212-300)",54.966667,-2.333333,[LC]M|,LCM,,La Catria
18700,18700,Dressel 20,Bardon Mill,Période V (120-140),54.966667,-2.333333,|Q[C]R|,QCR,,Sevilla
18701,18701,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,[Q]COCL|,QCOCL,,
18702,18702,Dressel 20,Bardon Mill,"VT 89, période V (120-140)",54.966667,-2.333333,[QC]O''CL|,QCOCL,,
18703,18703,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PORODV|,PORODV,,Haza del Olivo
18703,18703,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|PORODV|,PORODV,,La Catria
18704,18704,Dressel 20,Bardon Mill,"VI 19, période VIB (200-212)",54.966667,-2.333333,|E''VTY'C'IO|,EVTYCIO,,
18705,18705,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|LFC*,LFC,,Alcotrista
18706,18706,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|Q·F·G|,QFG,,
18707,18707,Dressel 20,Bardon Mill,"VZ 283, période V (120-140)",54.966667,-2.333333,|L'((hedera))F((hedera))O|,LFO,,Sevilla
18708,18708,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,M'IM|,MIM,,La Catria
18708,18708,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,M'IM|,MIM,,Peñaflor
18709,18709,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|Q((hedera))I((hedera))M|,QIM,,
18710,18710,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|QIMMACR|,QIMMACR,,
18711,18711,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|LIRTOR|,LIRTOR,,
18712,18712,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|A^ELI<·IT^A^L·^SEN|,AELIITALSEN,,
18713,18713,Dressel 20,Bardon Mill,"V01 49A, période IV (105-120)",54.966667,-2.333333,|P[I]V^L'CR^ISPI[?],PIVLICRISPI,,El Marchante
18714,18714,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|L·IVNI·M|/|ELISSI·P|,LIVNIMELISSIP,,Arva
18715,18715,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[L]·IVNIM'|/E'LISSI·P|,LIVNIMELISSIP,,Arva
18717,18717,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,[L·IVNI·]M'|/[ELIS]S[I]|,LIVNIMELISSI,,Las Delicias
18718,18718,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,[II]IVNIM^ELISSI|/|ETMELISSE[?|,IIIVNMELISSIETMELISSE,,Las Delicias
18719,18719,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|P^LFM^A^V^R|,PLFMAVR,,
18720,18720,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|CLPV'*,CLPV,,La Catria
18721,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,Alcolea del Río
18721,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,Arva
18721,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,El Tejarillo
18721,18721,Dressel 20,Bardon Mill,"VL 17, période VII (212-300)",54.966667,-2.333333,|PN'N*,PNN,,Tostoneras
18722,18722,Dressel 20,Bardon Mill,"VT 72, période V (120-140)",54.966667,-2.333333,|A·P·CR|,APCR,,
18723,18723,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|A·P'·H|,APH,,El Marchante
18724,18724,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|L·Q·S|,LQS,,Alcolea del Río
18725,18725,Dressel 20,Bardon Mill,Période VIB (200-212),54.966667,-2.333333,[L·]Q·S|,LQS,,Alcolea del Río
18726,18726,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|PORTAR''[?]|,PORTAR,,
18727,18727,Dressel 20,Bardon Mill,Période III (85-105),54.966667,-2.333333,[GR]AD·O[S]|,GRADOS,,Manuel Nieto
18728,18728,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|L·S·L·P·S·|,LSLPS,,
18729,18729,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|Q·S·P|,QSP,,
18730,18730,Dressel 20,Bardon Mill,"VT 91, période III (85-105)",54.966667,-2.333333,[Q·S[·P],QSP,,
18731,18731,Dressel 20,Bardon Mill,Période II (85-105).,54.966667,-2.333333,[Q]SP,QSP,,
18732,18732,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|HISP·SA^EN^I((corona))|,HISPSAENI,,huerta del río
18733,18733,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|F·SCIM'|/|N'I'A'N'O'|,FSCIMNIANO,,Las Delicias
18734,18734,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,"C·SEMPL..., sine imagine",CSEMPL,,
18735,18735,Dressel 20,Bardon Mill,"VX 42, période V (120-140)",54.966667,-2.333333,|SER·M|,SERM,,
18736,18736,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,+A''H+,...AH...,,
18737,18737,Dressel 20,Bardon Mill,"VJ 58, période VI (160-180)",54.966667,-2.333333,+A[I·F]|,...AIF,,
18738,18738,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|C+ & |Q'+,C... & Q...,,
18739,18739,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,"...EL, sine imagine",...EL,,
18740,18740,Dressel 20,Bardon Mill,Période IV (105-120),54.966667,-2.333333,|L+,L...,,
18741,18741,Dressel 20,Bardon Mill,"V00 37, période II ou III (85-105)",54.966667,-2.333333,Q+,Q...,,
18742,18742,Dressel 20,Bardon Mill,"VI 57, période IV (105-120)",54.966667,-2.333333,|Q+,Q...,,
18743,18743,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,+SC+ & +BC+,...SC... & ...BC...,,
18744,18744,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|[L·IVN]I'M*/|[ELISS]I''[P] & |[IIIVN]I''M''[ELISSI]/|[ET]M''[E]L''[SSE],LIVNIMELISSI & IIIVNIMELISSIETMELISSE,,Las Delicias
18745,18745,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,[---?]S^E[?]|,...SE...,,
18746,18746,Dressel 20,Bardon Mill,Hors stratigraphie,54.966667,-2.333333,|[?]GRA*,GRA,,La Catria
18747,18747,Dressel 20,Bardon Mill,Période VIB (200-212),54.966667,-2.333333,+LI+,...LI...,,
18748,18748,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,*M·F·[?]·A|,...MF...A,,
18749,18749,Dressel 20,Bardon Mill,"V01 19A, période III (85-105)",54.966667,-2.333333,"*A''[?]A|, bis impressum est",...A...A,,
18750,18750,Dressel 20,Bardon Mill,Période VI (160-180),54.966667,-2.333333,|QI^F·C''[O?]X'|,QIFC...OX?,,
20439,20439,Dressel 20,Bardon Mill,Période VIA-B (180-212),54.966667,-2.333333,[AGRI]COLAE|,AGRICOLAE,,Casa de Mingaobez
20440,20440,Dressel 20,Bardon Mill,Période VIA-B (180-212),54.966667,-2.333333,|L[·]C[·]F[·]P·C·E|,LCFPCE,,
20441,20441,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,GEN[ETIV],GENETIV,,
20442,20442,Dressel 20,Bardon Mill,Période V (120-140),54.966667,-2.333333,[HISPS]A^EN[I]((corona))|,HISPSAENI,,huerta del río
20443,20443,Dressel 20,Bardon Mill,Période VIA (180-200),54.966667,-2.333333,|IVLT'EREN''*,IVLTEREN,,Malpica Sur
20444,20444,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,[?]MV|,…MV,,
20445,20445,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|Q·M·MCER|,QMMCER,,Villaseca
20446,20446,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,|C·ST^E^R·PA^V^LL^IN^I''*,CSTERPAVLLINI,,Las Sesenta
20447,20447,Dressel 20,Bardon Mill,Période VII (212-300),54.966667,-2.333333,|[PV]A^L'FA^VSSC~O''R|,PVALFAVSSCOR,,
20448,20448,Dressel 20,Bardon Mill,Période V ou VI (120-180),54.966667,-2.333333,|G+ & |Q+,G+ & Q+,,
20449,20449,Dressel 20,Bardon Mill,Période IV ou V (105-140),54.966667,-2.333333,[M·[AEME],MAEME,,Arva
20450,20450,Dressel 20,Bardon Mill,Période IV ou V (105-140),54.966667,-2.333333,|SA[X]O[FER] & |SA[XFER],SAXOFER & SAXFER,,
20451,20451,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,+OO|,…OO,,
32250,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,Aemiliorvm et / Cassiorvm,Aemiliorvm et Cassiorvm,,
32250,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,C[?]III,CIII {103},,
32250,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,[---]leontini aaaa ccxx seren[---],...leontini aaaa ccxx seren...,,
32250,32250,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,VLXXVI,VLXXVI,,
32251,32251,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,CXC[---],CXC... {+190},,
32252,32252,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,CCVVVI,CCVVVI {216},,
32253,32253,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,Mont[ani],Montani,,
33382,33382,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,|AP((amphora))''+,AP…,,
33383,33383,Dressel 20,Bardon Mill,Period X,54.966667,-2.333333,|APN|,APN,,
33384,33384,Dressel 20,Bardon Mill,Period IX,54.966667,-2.333333,CAN^TQ+,CANTQ…,,
33385,33385,Dressel 20,Bardon Mill,Period VI-VII,54.966667,-2.333333,|F·SCIM|/|NIANO|,FSCIMNIANO,,Las Delicias
33386,33386,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,[II]AVRH[ERACLAE]/PATETF'[ILIFBAR],IIAVRHERACLAEPATETFILIFBAR,,
33387,33387,Dressel 20,Bardon Mill,Chesterholm (Vindolanda),54.966667,-2.333333,[IIIAV]RHERACLA[E]/[PATE]TFILFBAR,IIAVRHERACLAEPATETFILFBAR,,
33388,33388,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|IIIENNIORIVLSAE|,IIIENNIORIVLSAE,,huerta del río
33389,33389,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|LAFP|,LAFP,,
33390,33390,Dressel 20,Bardon Mill,Period VII,54.966667,-2.333333,|L·Q·A|,LQA,,
33391,33391,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|LQs''C'',LQSC,,Alcolea del Río
33392,33392,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,MC[L]SH,MCLSH,,
33393,33393,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|MIAPM^A|,MIAPMA,,El Marchante
33394,33394,Dressel 20,Bardon Mill,Period VII,54.966667,-2.333333,[M]S^EH^EL·C|,MSEHELC,,
33395,33395,Dressel 20,Bardon Mill,Period VII-VIII,54.966667,-2.333333,|OLEASTRO|,OLEASTRO,,El Sotillo
33396,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Alcolea del Río
33396,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Arva
33396,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,El Tejarillo
33396,33396,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Tostoneras
33397,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Alcolea del Río
33397,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Arva
33397,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,El Tejarillo
33397,33397,Dressel 20,Bardon Mill,Period VIII-IX,54.966667,-2.333333,|PN[N],PNN,,Tostoneras
33398,33398,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|QA'[--]E·P>O|,QAEPO,,
33399,33399,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|QIM|,QIM,,
33400,33400,Dressel 20,Bardon Mill,Period VI-VII,54.966667,-2.333333,QIM/S!,QIMS,,Arva
33401,33401,Dressel 20,Bardon Mill,Period VIB,54.966667,-2.333333,|QMR|,QMR,,
33402,33402,Dressel 20,Bardon Mill,Period V,54.966667,-2.333333,|SANNIRGR|,SANNIRGR,,
33403,33403,Dressel 20,Bardon Mill,Period VI,54.966667,-2.333333,|SCA^LCELS|,SCALCELS,,Cerro de los Pesebres
33404,33404,Dressel 20,Bardon Mill,Period VIA,54.966667,-2.333333,|SCALHER|,SCALHER,,Cerro de los Pesebres
33405,33405,Dressel 20,Bardon Mill,Period VIA-VII,54.966667,-2.333333,|SER+,SER…,,
33406,33406,Dressel 20,Bardon Mill,Period II-IV,54.966667,-2.333333,|SEI+,SEI…,,
33408,33408,Dressel 20,Bardon Mill,Period III-IV,54.966667,-2.333333,+MI''V''S''+,…MIVS…,,
15814,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,Alcolea del Río
15814,15814,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,M^M^ACS^V+,MMCSV...,,El Tejarillo
16450,16450,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|GNAPCO''|,GNAPCO,,
16499,16499,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"SNR, sine imagine",SNR,,La Catria
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Adelfa
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Guadajoz
16778,16778,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|LSPB''OEQ|,LSPBOEQ,,Juan Barba
17083,17083,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,|VIRAV|,VIRAV,,Villar de Brenes
17084,17084,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"VIRGINENSIA, sine imagine",VIRGINENSIA,,Itálica
17200,17200,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,+M|,...M,,
17205,17205,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,"+MMC+, sine imagine",...MMC...,,
17217,17217,Dressel 20,Bar Hill,Bar Hill,55.958056,-4.064722,+SA+,...SA...,,
16500,16500,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"SNR, sine imagine",SNR,,La Catria
16539,16539,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"DOMS, sine imagine",DOMS,,Alcolea del Río
16544,16544,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"DOMS, sine imagine",DOMS,,Alcolea del Río
17195,17195,Dressel 20,Bearsden,Bearsden,55.916667,-4.35,"+I+, sine imagine",...I...,,
16004,16004,Dressel 20,Beckfoot,Beckfoot,54.383333,-3.283333,"MFF, sine imagine",MFF,,Arva
15704,15704,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|L·CA^N^TP|,LCANTP,,La Catria
15748,15748,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|LCF·PC'+,LCFPC...,,
16372,16372,Dressel 20,Birrens,Birrens,55.066667,-3.233333,M'M·RQ'*,MMR,,
16551,16551,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|DOMS|,DOMS,,Alcolea del Río
16877,16877,Dressel 20,Birrens,Birrens,55.066667,-3.233333,|SCAVE''+,SCAVE...,,Cerro de los Pesebres
17110,17110,Dressel 20,Birrens,Birrens,55.066667,-3.233333,"AR+, sine imagine",AR...,,
17197,17197,Dressel 20,Birrens,Birrens,55.066667,-3.233333,"+LFI, sine imagine",...LFI,,
15484,15484,Dressel 20,Bishop Auckland,Binchester,54.65,-1.666667,"ACIRGI, sine imagine",ACIRGI (ACIRCI),,Itálica
15708,15708,Dressel 20,Bishop Auckland,Binchester,54.65,-1.666667,"FCCVC, sine imagine",FCCVC,,
15964,15964,Dressel 20,Bishop Auckland,Binchester,54.65,-1.666667,"LFCCVCAT, sine imagine",LFCCVCAT,,Isla del Castillo
15964,15964,Dressel 20,Bishop Auckland,Binchester,54.65,-1.666667,"LFCCVCAT, sine imagine",LFCCVCAT,,Las Ánimas
17101,17101,Dressel 20,Bishop Auckland,Binchester,54.65,-1.666667,|V^RI^T^T^IFA'[^V],VRITTIFAV (VRITIFAV),,
15400,15400,Dressel 20,Bishopbriggs,Balmuildy,55.9,-4.233333,"LAF, sine imagine",LAF,,La Catria
15665,15665,Dressel 20,Bishopbriggs,Cadder,55.9,-4.233333,|DA^TSCOL|,DATSCOL,,Azanaque-Castillejo
15778,15778,Dressel 20,Bishopbriggs,Cadder,55.9,-4.233333,|MC<PRI|,MCPRI,,
15815,15815,Dressel 20,Bishopbriggs,Balmuildy,55.9,-4.233333,+M^MCS^V^R|,MMCSVR,,Alcolea del Río
15815,15815,Dressel 20,Bishopbriggs,Balmuildy,55.9,-4.233333,+M^MCS^V^R|,MMCSVR,,El Tejarillo
